id,gender,age,lengthofservice,entrymethod,2019 status,eNPS,vision,stability,missioncohe,customer,workload,evaluation,salary,growth,boss,colleagues,pa,home.store,jobmeaning,wellfare,clean,culture,influence,reputation,workingtime,promotesalary,autonomy,training,facilities,uniform
1100180,2,33,6,Old,Stay,3,4,2,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4
1100181,1,42,6,Old,Stay,5,4,3,3,4,3,4,3,4,4,4,4,3,4,4,4,3,4,4,3,3,4,4,4,4
1100182,1,43,6,Old,Stay,2,4,4,4,5,1,1,1,4,4,5,5,1,5,1,4,4,4,4,1,1,4,4,5,4
1100185,1,42,5,Old,Leave,4,6,3,3,4,2,3,2,3,2,4,4,3,4,5,3,2,5,6,2,2,2,4,2,4
1100186,2,32,5,Old,Stay,8,6,5,4,6,4,4,4,6,7,6,6,4,6,5,4,5,5,4,2,4,4,5,5,4
1100189,2,31,5,Old,Stay,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4
1100190,2,31,5,Old,Stay,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1100192,1,34,5,Old,Stay,7,5,4,5,4,3,4,3,5,5,6,5,3,6,5,4,5,4,4,5,3,3,4,4,4
1100193,1,31,5,Old,Stay,6,4,2,5,5,3,4,4,5,4,6,5,4,6,2,6,6,5,5,2,3,5,4,3,5
1100194,2,31,5,Old,Stay,1,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4
1100195,1,36,5,Old,Stay,2,4,2,4,4,2,2,2,4,4,4,4,2,4,4,4,4,4,5,1,2,2,2,4,4
1100197,2,28,5,Old,Stay,5,6,3,4,6,2,3,2,5,3,4,4,3,6,2,3,3,5,5,2,2,4,4,2,4
1100198,2,38,5,Old,Stay,0,5,3,5,4,4,5,2,5,4,4,4,4,6,3,4,4,4,5,3,4,4,5,3,5
1100199,2,42,5,Old,Leave,6,6,4,4,4,3,4,3,4,5,5,5,4,5,2,4,5,4,4,4,3,4,4,4,4
1100200,1,40,5,Old,Stay,4,4,3,4,4,4,4,2,3,6,5,4,4,4,1,4,3,4,4,4,2,4,4,4,4
1100201,2,33,5,Old,Stay,6,5,5,5,6,5,5,5,5,5,6,6,5,5,5,5,5,5,5,3,5,5,5,5,5
1100203,1,29,5,Old,Stay,4,4,2,4,3,4,4,3,4,4,4,4,4,5,4,4,3,4,4,4,4,4,4,4,4
1100206,1,33,5,Old,Stay,6,4,5,4,4,3,5,3,6,4,4,4,4,6,5,5,4,4,6,3,3,4,4,4,4
1100210,2,33,5,Old,Stay,3,5,3,3,4,1,4,1,4,4,5,3,4,4,2,3,4,4,4,2,2,2,4,4,4
1100211,1,45,5,Old,Stay,3,4,3,4,4,4,3,4,2,2,4,4,3,2,3,4,3,4,4,2,3,3,4,4,3
1100212,2,33,5,Old,Stay,6,6,3,6,4,3,5,3,5,6,6,6,3,6,3,3,3,3,4,3,4,4,5,3,4
1100214,1,37,5,Old,Stay,5,4,2,5,4,3,4,3,5,4,4,4,4,5,2,4,3,4,6,3,3,6,4,3,4
1100215,2,35,5,Old,Stay,7,7,3,3,6,2,2,4,4,2,4,4,4,7,2,1,4,4,7,3,3,4,4,4,6
1100218,1,31,5,Old,Stay,7,5,2,7,5,3,4,1,6,6,6,6,6,7,4,3,5,4,6,2,2,2,4,3,4
1100219,2,30,5,Old,Stay,3,4,3,5,5,2,3,2,3,5,5,4,4,5,3,4,3,4,5,3,2,4,4,4,4
1100220,2,37,5,Old,Stay,5,5,4,5,5,3,5,2,5,5,5,5,5,5,3,4,5,5,5,2,4,3,3,4,4
1100221,1,29,5,Old,Stay,4,5,3,4,5,3,5,2,3,4,6,4,4,5,3,4,3,4,6,3,4,3,4,4,4
1100222,2,35,5,Old,Stay,2,4,2,4,4,2,4,2,3,4,4,4,3,3,4,4,2,4,4,2,4,4,4,2,4
1100223,1,29,5,Old,Stay,6,6,5,5,4,4,3,3,5,7,6,5,4,4,4,3,4,4,5,4,4,4,5,4,3
1100226,2,32,5,Old,Leave,1,5,2,4,3,3,3,1,3,5,6,4,3,4,2,3,2,4,4,1,2,4,2,3,2
1100228,2,32,5,Old,Stay,6,5,4,7,5,3,6,3,7,6,6,6,5,6,4,4,4,4,5,3,5,4,4,4,4
1100229,2,24,5,Old,Stay,6,4,3,5,4,2,4,1,3,6,6,4,4,5,2,4,4,4,6,2,2,6,2,4,2
1100230,2,41,5,Old,Stay,2,4,3,4,5,2,4,2,5,4,4,4,6,3,1,4,3,4,4,2,3,4,3,4,4
1100231,1,35,5,Old,Stay,5,6,6,6,4,1,5,2,6,5,4,4,4,6,4,4,3,4,5,1,5,5,4,3,4
1100232,2,28,5,Old,Stay,8,7,4,4,4,3,4,3,4,4,5,4,4,4,4,4,6,4,5,3,4,4,4,4,4
1100233,1,36,5,Old,Stay,2,4,2,4,4,2,2,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,2,4,4
1100234,2,36,5,Old,Stay,2,5,2,5,5,1,4,3,4,5,4,4,3,5,1,2,1,3,5,1,4,1,1,4,4
1100236,2,34,5,Old,Stay,6,6,4,5,6,3,4,2,5,6,6,5,4,5,6,4,4,6,6,3,2,4,6,6,4
1100237,2,34,4,Old,Stay,1,4,4,4,4,2,4,2,4,4,4,2,4,3,4,4,2,4,4,2,4,4,3,3,4
1100238,2,40,4,Old,Stay,3,7,3,4,4,3,4,3,4,3,4,3,3,4,3,4,4,4,6,4,4,4,3,3,4
1100239,2,40,4,Old,Stay,7,6,2,6,6,4,5,4,5,5,6,6,4,6,4,6,2,4,4,4,4,4,2,4,4
1100241,1,42,4,Old,Stay,3,4,2,3,6,1,1,1,6,6,6,2,4,6,1,4,3,4,6,1,1,1,1,1,4
1100245,1,37,4,Old,Stay,2,4,4,4,5,2,6,6,4,6,3,6,2,2,4,4,3,5,3,2,5,4,4,2,4
1100246,1,41,4,Old,Stay,2,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,5,4,4,3,3,4,4,4
1100247,1,36,4,Old,Stay,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1100248,1,34,4,Old,Stay,3,4,2,4,4,2,2,2,2,4,4,4,2,3,1,4,2,4,4,2,1,3,4,2,3
1100250,1,47,4,Old,Stay,3,4,2,4,5,3,6,1,6,6,6,4,3,6,4,4,6,4,7,3,1,6,4,2,4
1100251,2,44,4,Old,Stay,5,6,5,5,6,6,6,3,6,2,5,6,6,6,5,6,6,6,6,5,4,6,5,5,3
1100253,2,34,4,Old,Leave,5,4,4,4,5,2,3,2,4,4,5,5,3,4,2,4,4,2,6,2,3,2,2,2,4
1100254,1,29,4,Old,Leave,2,6,4,4,2,1,4,2,3,5,4,4,3,3,3,4,5,4,4,1,2,4,4,2,4
1100257,2,36,4,Old,Stay,3,6,2,2,5,1,2,2,4,3,4,4,4,6,4,2,4,4,6,2,2,4,4,4,4
1100258,1,37,4,Old,Stay,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1100259,1,44,3,Old,Leave,2,4,6,4,5,2,6,3,6,3,3,3,4,4,4,4,5,4,5,2,5,5,3,4,4
1100261,1,32,3,Old,Stay,4,6,1,4,5,2,2,1,3,4,4,4,4,5,3,4,5,6,6,2,1,2,2,1,4
1100262,1,29,3,Old,Stay,3,3,3,4,3,2,3,3,6,3,6,4,4,6,2,4,3,6,6,2,2,2,4,3,4
1100263,1,29,3,Old,Stay,0,4,1,4,4,1,4,1,4,4,4,3,2,1,1,1,4,4,4,1,1,4,4,2,4
1100265,2,33,3,Old,Stay,7,6,6,4,5,2,4,2,4,5,5,5,4,4,3,4,5,6,6,2,4,4,4,5,5
1100269,2,29,3,Old,Stay,3,5,4,4,4,2,4,2,4,4,4,4,4,5,2,4,3,4,6,2,2,4,4,4,4
1100271,2,29,3,Old,Leave,1,5,2,4,4,2,4,2,4,4,4,4,2,5,1,4,4,4,5,1,4,2,2,4,4
1100273,2,33,3,Old,Stay,5,5,5,4,4,2,4,3,5,4,4,4,4,5,4,4,4,4,4,1,3,4,4,3,4
1100274,1,36,3,Old,Leave,1,4,2,4,4,2,4,3,3,3,3,3,3,5,2,3,3,4,5,1,2,4,4,4,3
1100275,2,34,3,Old,Leave,2,4,2,4,4,4,4,2,2,4,4,4,4,4,2,4,1,1,4,4,2,5,4,2,4
1100279,2,25,3,Old,Leave,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1100280,2,34,3,Old,Stay,5,7,3,5,6,4,4,3,6,7,7,7,2,6,3,3,4,4,5,3,4,4,6,4,4
1100281,2,33,3,Old,Stay,7,4,5,4,4,5,5,5,4,4,4,4,4,4,5,3,3,4,5,5,4,3,4,4,3
1100286,2,35,3,Old,Stay,8,5,4,5,6,3,3,3,6,6,6,6,4,6,3,4,4,5,5,2,3,3,5,4,4
1100287,2,31,3,Old,Leave,5,3,3,4,4,4,4,3,3,3,4,4,3,4,3,4,3,4,4,3,4,4,4,4,4
1100290,2,29,3,Old,Stay,3,3,3,5,5,2,2,2,5,3,5,4,2,3,2,4,3,4,4,3,3,2,4,3,4
1100292,1,34,3,Old,Stay,7,6,5,4,4,4,4,4,6,4,6,6,5,6,4,4,4,4,5,3,3,6,4,4,4
1100293,2,38,3,Old,Leave,1,4,1,3,6,2,3,2,4,5,6,7,2,5,2,3,5,4,5,1,2,3,5,5,5
1100295,2,38,3,Old,Stay,6,6,5,4,4,3,4,4,3,4,4,4,2,3,5,2,2,4,6,5,4,4,4,3,4
1100297,1,30,3,Old,Leave,8,5,4,4,4,4,4,4,5,5,5,4,4,6,4,4,4,4,6,5,4,4,4,6,6
1100298,1,41,3,Old,Stay,5,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,5,3,4,3,4,4,4
1100301,2,35,3,Old,Stay,5,5,1,4,4,3,4,1,6,4,5,4,4,5,3,4,2,4,5,4,2,4,4,5,4
